Date,BankCredit
2013-05-31,5368778.32191
2013-06-14,5347324.97036
2013-06-28,5404562.20055
2013-07-12,5385033.22185
2013-07-26,5395625.66749
2013-08-09,5489852.07819
2013-08-23,5514416.45988
2013-09-06,5598795.90808
2013-09-20,5602020.70534
2013-10-04,5650106.50895
2013-10-18,5597984.6916
2013-11-01,5641907.55415
2013-11-15,5633179.5918
2013-11-29,5646480.52116
2013-12-13,5684689.52584
2013-12-27,5741342.44452
2014-01-10,5771871.68261
2014-01-24,5775734.85144
2014-02-07,5835547.53461
2014-02-21,5845833.464
2014-03-07,5920761.71785
2014-03-21,5994095.80292
2014-04-04,6064659.72595
2014-04-18,6013043.02741
2014-05-02,6044606.20024
2014-05-16,6020311.51491
2014-05-30,6041520.47172
2014-06-13,6062437.04277
2014-06-27,6094944.2894
2014-07-11,6097431.86231
2014-07-25,6084262.33457
2014-08-08,6100271.40399
2014-08-22,6086902.83374
2014-09-05,6112361.5865
2014-09-19,6118066.27438
2014-10-03,6240255.65661
2014-10-17,6192157.59082
2014-10-31,6244191.73352
2014-11-14,6224349.05325
2014-11-28,6255348.09438
2014-12-12,6275071.93517
2014-12-26,6318523.80932
2015-01-09,6362466.11574
2015-01-23,6363922.92427
2015-02-06,6413366.51246
2015-02-20,6425793.38342
2015-03-06,6499946.86324
2015-03-20,6536420.48737
2015-04-03,6802520.73059
2015-04-17,6575199.22741
2015-05-01,6651133.99514
2015-05-15,6603927.02746
2015-05-29,6606343.5749
2015-06-12,6660600.13355
2015-06-26,6630623.97043
2015-07-10,6641956.00408
2015-07-24,6627976.46316
2015-08-07,6643387.60547
2015-08-21,6638819.44927
2015-09-04,6672132.51306
2015-09-18,6685891.50667
2015-10-02,6809610.41201
2015-10-16,6763360.14138
2015-10-30,6794625.88002
2015-11-13,6813874.98219
2015-11-27,6839153.55235
2015-12-11,6939639.5141
2015-12-25,6988248.54361
2016-01-08,7050622.68801
2016-01-22,7055477.40675
2016-02-05,7125457.41281
2016-02-19,7144778.49542
2016-03-04,7220466.75179
2016-03-18,7249614.93547
2016-04-01,7500496.76706
2016-04-15,7231866.76126
2016-04-29,7232294.66289
2016-05-13,7224696.70331
2016-05-27,7226441.45742
2016-06-10,7222939.22036
2016-06-24,7227960.36052
2016-07-08,7264294.81054
2016-07-22,7240547.62662
2016-08-05,7268231.06913
2016-08-19,7247718.88977
2016-09-02,7297078.1153
2016-09-16,7282622.2892
2016-09-30,7494868.41198
2016-10-14,7333794.96659
2016-10-28,7384413.92746
2016-11-11,7324332.2194
2016-11-25,7261753.62184
2016-12-09,7312107.30698
2016-12-23,7317391.20837
2017-01-06,7384567.56894
2017-01-20,7389528.15897
2017-02-03,7445967.17738
2017-02-17,7458849.59506
2017-03-03,7488993.4075
2017-03-17,7538202.37467
2017-03-31,7841466.00209
2017-04-14,7601970.12347
2017-04-28,7582390.73987
2017-05-12,7590940.71943
2017-05-26,7569458.37773
2017-06-09,7631307.09376
2017-06-23,7635689.24108
2017-07-07,7678454.58288
2017-07-21,7659897.85212
2017-08-04,7701925.67038
2017-08-18,7681138.28769
2017-09-01,7744236.72283
2017-09-15,7754406.07082
2017-09-29,7983437.53593
2017-10-13,7864021.59249
2017-10-27,7884644.91064
2017-11-10,7931080.97044
